State,LGA,Ward,PU-Code,PU-Name,Latitude,Longitude,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,Outlier Score
ANAMBRA,AWKA SOUTH,AWKA  III,04-07-07-014,Y - JUNCTION AGU-OYE (OPEN SPACE BESIDE CHURCH OF TRANSFIGURATION AGUOYE AWKA),6.2220043,7.0821162,60,83,True,-1,False,False,False,False,UNKNOWN,0,59,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18360/pu/121543/121543-1677539957.pdf,70.99056603773585
ANAMBRA,ONITSHA-NORTH,TRANS NKISI,04-17-12-013,OPEN SPACE BESIDE GOLDEN NWABUEZE AVE. TRANSFORMER JUNCTION,6.1623902,6.8029489,79,116,True,-1,False,False,False,False,UNKNOWN,0,74,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/12/pu/013/013-1677418562.pdf,70.93999999999998
ANAMBRA,IDEMILI-SOUTH,OJOTO,04-11-12-023,HEALTH CENTRE I,6.07731,6.8672668,57,267,True,-1,False,False,False,False,UNKNOWN,1,51,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3182/ward/18423/pu/10612/10612-1677719146.pdf,70.91803278688523
ANAMBRA,AGUATA,IGBO-UKWU  I,04-01-10-004,OBIUNO YOUTHS CENTRE II,6.0085842,7.1009488,168,486,True,-1,False,False,False,False,UNKNOWN,2,33,1,2,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/10/pu/004/004-1677390898.pdf,70.85833333333333
ANAMBRA,AGUATA,EKWULOBIA  I,04-01-06-023,COURT PREMISES (LGA),6.0085842,7.1009488,7,16,True,-1,False,False,False,False,UNKNOWN,2,42,1,11,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/06/pu/022/022-1677361546.pdf,70.85833333333333
ANAMBRA,NJIKOKA,NIMO  I,04-13-15-008,DOMESTIC CENTRE II,6.178444,6.9880335,54,181,True,-1,False,False,False,False,UNKNOWN,0,48,2,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/15/pu/008/008-1677402217.pdf,70.84615384615385
ANAMBRA,OYI,AWKUZU  IV,04-21-04-015,AMA IGBOM VILLAGE SQUARE,6.2208997,6.9369559,172,439,True,-1,False,False,False,False,UNKNOWN,0,152,32,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/04/pu/015/015-1677405716.pdf,70.8383233532934
ANAMBRA,DUNUKOFIA,UMUNNACHI  II,04-08-14-007,ILOAGU SQUARE III,6.2009693,6.9786326,191,568,True,-1,False,False,False,False,UNKNOWN,16,164,4,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3179/ward/18387/pu/9937/9937-1677501707.pdf,70.81355932203388
ANAMBRA,ONITSHA -SOUTH,FEGGE I,04-18-04-015,"OPEN SPACE BESIDE TRANSFORMER I, IN FRONT OF NO. 18, OZUBULU STREET.",6.1338572,6.7814028,38,63,True,-1,False,False,False,False,UNKNOWN,0,37,0,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3189/ward/18526/pu/122296/122296-1677648452.pdf,70.72891566265062
ANAMBRA,ANAMBRA WEST,UMUEZE-ANAM  II,04-04-09-019,OKPA MKPUME II,6.4901675,6.7922355,6,99,True,-1,False,False,False,False,UNKNOWN,0,6,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/9073/result_165653_1677589999_thumb.jpg,70.7
ANAMBRA,ANAMBRA WEST,OROMA ETITI-ANAM,04-04-06-008,UMUOMELIM PRY. SCHOOL,6.4901675,6.7922355,146,891,True,-1,False,True,False,False,UNKNOWN,2,140,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3175/ward/18316/pu/9037/9037-1677602973.pdf,70.62307692307692
ANAMBRA,DUNUKOFIA,UMUNNACHI  II,04-08-14-002,OBIECHI P/S II,6.2009693,6.9786326,185,620,True,-1,False,False,False,False,UNKNOWN,2,177,3,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3179/ward/18387/pu/9932/9932-1677504641.pdf,70.60169491525424
ANAMBRA,EKWUSIGO,ICHI,04-09-01-005,OKA VILLAGE HALL I,5.9565942,6.8511814,182,682,True,-1,False,False,False,False,UNKNOWN,1,176,3,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/9937/result_166703_1678024103_thumb.jpg,70.57894736842105
ANAMBRA,NNEWI NORTH,URUAGU  I,04-14-08-010,AKWUEGBO C/S IV,6.0136533,6.9101806,169,773,True,-1,False,False,False,False,UNKNOWN,0,169,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3185/ward/18469/pu/11254/11254-1677768251.pdf,70.56875
ANAMBRA,IDEMILI-SOUTH,OJOTO,04-11-12-007,OGANIRU PRY. SCHOOL III,6.07731,6.8672668,193,746,True,-1,False,False,False,False,UNKNOWN,3,187,1,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3182/ward/18423/pu/10596/10596-1677678513.pdf,70.55737704918033
ANAMBRA,NJIKOKA,ENUGWU UKWU  II,04-13-10-005,ADAGBE ABOMINI P/S I,6.178444,6.9880335,184,556,True,-1,False,False,False,False,UNKNOWN,1,183,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/10/pu/005/005-1677402622.pdf,70.5104895104895
